Curso,Código,Nome,Horas,PeriodosSemanais
1º,MP0223,Aplicacións ofimáticas,184,7
1º,MP0156,Inglés profesional (GM),60,2
1º,MP1709,Itinerario persoal para a empregabilidade I,107,4
1º,MP0221,Montaxe e mantemento de equipamentos,206,8
1º,MP0225,Redes locais,213,8
1º,MP0222,Sistemas operativos monoposto,160,6
1º,MP1708,Sostibilidade aplicada ao sistema produtivo,30,1
2º,MO0003,Afondamento nas competencias profesionais (GM),30,1
2º,MP0228,Aplicacións web,163,6
2º,MP1664,Dixitalización aplicada aos sectores produtivos (GM),30,1
2º,MO0001,Habilidades comunicativas en lingua estranxeira (GM),60,2
2º,MP1710,Itinerario persoal para a empregabilidade II,50,2
2º,MP1713,Proxecto intermodular (GM),50,0
2º,MP0226,Seguridade informática,219,8
2º,MP0227,Servizos en rede,219,8
2º,MP0224,Sistemas operativos en rede,219,8